,team,year,avg_ht,avg_wt
116,GSW,1998,198.23545454545453,97.7285379
117,GSW,1999,198.31538461538463,97.87127675769231
118,GSW,2000,199.88695652173908,97.06876717999998
119,GSW,2001,199.6209090909091,99.522289545
120,GSW,2002,199.81333333333333,100.48582970066667
121,GSW,2003,197.96125,98.571291905625
122,GSW,2004,199.39,99.33672903
123,GSW,2005,201.93000000000004,100.84870359666667
124,GSW,2006,199.30533333333335,100.03223733066667
125,GSW,2007,199.898,99.472806741
126,GSW,2008,201.93000000000004,99.73992224777778
127,GSW,2009,200.06235294117647,96.90867575529413
128,GSW,2010,200.152,97.43164107600002
129,GSW,2011,200.95882352941177,97.97595192000001
130,GSW,2012,201.29500000000002,101.1284188915
131,GSW,2013,200.8011111111111,103.59545739277779
132,GSW,2014,200.66,99.18553157333334
